root	run	checkpoint	weights_path	size_bytes	size_gb	mtime	modified
outputs	qwen3-4b-static-recurrent-kv-target-embedding-hidden-states-bare-gate-all36-b16-l5-4node-09101112-mix-epoch3-20260911	epoch_3_step_59253	/share/guorui/投机解码训练/SpecForge/outputs/qwen3-4b-static-recurrent-kv-target-embedding-hidden-states-bare-gate-all36-b16-l5-4node-09101112-mix-epoch3-20260911/epoch_3_step_59253/model.safetensors	1163438602	1.084	1789164243	2026-09-12 06:04
outputs	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_140000	/share/guorui/投机解码训练/SpecForge/outputs/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_140000/model.safetensors	269723866	0.251	1789131995	2026-09-11 21:06
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_135000-20260911-130635	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_135000-20260911-130635/model.safetensors	269723866	0.251	1789131217	2026-09-11 20:53
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_130000-20260911-125337	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_130000-20260911-125337/model.safetensors	269723866	0.251	1789130439	2026-09-11 20:40
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_125000-20260911-124039	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_125000-20260911-124039/model.safetensors	269723866	0.251	1789129658	2026-09-11 20:27
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_120000-20260911-122738	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_120000-20260911-122738/model.safetensors	269723866	0.251	1789128883	2026-09-11 20:14
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_115000-20260911-121443	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_115000-20260911-121443/model.safetensors	269723866	0.251	1789128102	2026-09-11 20:01
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_110000-20260911-120142	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_110000-20260911-120142/model.safetensors	269723866	0.251	1789127324	2026-09-11 19:48
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_105000-20260911-114844	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_105000-20260911-114844/model.safetensors	269723866	0.251	1789126546	2026-09-11 19:35
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_100000-20260911-113546	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_100000-20260911-113546/model.safetensors	269723866	0.251	1789125773	2026-09-11 19:22
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_95000-20260911-112253	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_95000-20260911-112253/model.safetensors	269723866	0.251	1789124996	2026-09-11 19:09
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_1_step_90000-20260911-110956	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_1_step_90000-20260911-110956/model.safetensors	269723866	0.251	1789124218	2026-09-11 18:56
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_85000-20260911-105658	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_85000-20260911-105658/model.safetensors	269723866	0.251	1789123441	2026-09-11 18:44
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_80000-20260911-104401	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_80000-20260911-104401/model.safetensors	269723866	0.251	1789122665	2026-09-11 18:31
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_75000-20260911-103105	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_75000-20260911-103105/model.safetensors	269723866	0.251	1789121887	2026-09-11 18:18
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_70000-20260911-101807	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_70000-20260911-101807/model.safetensors	269723866	0.251	1789121112	2026-09-11 18:05
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_65000-20260911-100512	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_65000-20260911-100512/model.safetensors	269723866	0.251	1789120337	2026-09-11 17:52
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_60000-20260911-095217	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_60000-20260911-095217/model.safetensors	269723866	0.251	1789119562	2026-09-11 17:39
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_55000-20260911-093922	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_55000-20260911-093922/model.safetensors	269723866	0.251	1789118786	2026-09-11 17:26
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_50000-20260911-092626	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_50000-20260911-092626/model.safetensors	269723866	0.251	1789118011	2026-09-11 17:13
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_45000-20260911-091331	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_45000-20260911-091331/model.safetensors	269723866	0.251	1789117238	2026-09-11 17:00
cache/checkpoint-trash	q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911	epoch_0_step_40000-20260911-090038	/share/guorui/投机解码训练/SpecForge/cache/checkpoint-trash/q3-06-static-one-gate-difference-pool-domino-b8-l5-1node-011-fromscratch-bs2-globalbs16-epoch2-gamma7-eval1k-20260911/epoch_0_step_40000-20260911-090038/model.safetensors	269723866	0.251	1789116466	2026-09-11 16:47
